ENSGACT00000021442.1	selenot2
ENSGACT00000021874.1	si:dkey-237h12.3
ENSGACT00000021886.1	aga
ENSGACT00000021892.1	neil3
ENSGACT00000021899.1	pdgfc
ENSGACT00000021902.1	glrbb
ENSGACT00000021918.1	GRIA2
ENSGACT00000021919.1	GRIA2
ENSGACT00000021927.1	fam198b
ENSGACT00000021931.1	tmem144b
ENSGACT00000021936.1	rxfp1
ENSGACT00000021963.1	etfdh
ENSGACT00000021965.1	etfdh
ENSGACT00000021984.1	ppid
ENSGACT00000021994.1	rapgef2
ENSGACT00000021997.1	rapgef2
ENSGACT00000021999.1	rapgef2
ENSGACT00000022005.1	fstl5
ENSGACT00000022008.1	fstl5
ENSGACT00000022009.1	fstl5
ENSGACT00000022011.1	qdpra
ENSGACT00000022014.1	ldb2a
ENSGACT00000022018.1	tapt1a
ENSGACT00000022020.1	tapt1a
ENSGACT00000022025.1	prom1a
ENSGACT00000022033.1	fgfbp1b
ENSGACT00000022040.1	anxa5a
ENSGACT00000022051.1	ccna2
ENSGACT00000022054.1	ccna2
ENSGACT00000022056.1	bbs7
ENSGACT00000022067.1	tmem33
ENSGACT00000022071.1	phox2bb
ENSGACT00000022074.2	LIMCH1
ENSGACT00000022080.1	lbx2
ENSGACT00000022082.1	pcgf1
ENSGACT00000022083.1	pcgf1
ENSGACT00000022087.1	fgf24
ENSGACT00000022093.1	fgf24
ENSGACT00000022095.1	fgf24
ENSGACT00000022099.1	npm1b
ENSGACT00000022102.1	npm1b
ENSGACT00000022108.1	adad1
ENSGACT00000022115.1	cetn4
ENSGACT00000022116.1	bbs12
ENSGACT00000022120.1	fgf2
ENSGACT00000022125.1	nudt6
ENSGACT00000022129.1	nudt6
ENSGACT00000022134.1	SPATA5
ENSGACT00000022136.1	ANKRD50
ENSGACT00000022144.1	FAT4
ENSGACT00000022149.1	zgc:92045
ENSGACT00000022151.2	srp72
ENSGACT00000022155.1	arl9
ENSGACT00000022158.1	arl9
ENSGACT00000022161.1	hopx
ENSGACT00000022169.1	sec24b
ENSGACT00000022171.1	sec24b
ENSGACT00000022181.1	TSTD2
ENSGACT00000022207.1	NCBP1
ENSGACT00000022210.1	SLC49A3
ENSGACT00000022213.1	PCGF3
ENSGACT00000022215.1	CPLX1
ENSGACT00000022220.1	smu1a
ENSGACT00000022228.1	elp1
ENSGACT00000022230.1	arhgef37
ENSGACT00000022237.1	pde6a
ENSGACT00000022238.1	pde6a
ENSGACT00000022241.1	slc26a2
ENSGACT00000022245.1	slc26a2
ENSGACT00000022247.1	htr4
ENSGACT00000022248.1	lman2
ENSGACT00000022252.1	lman2
ENSGACT00000022256.1	fat2
ENSGACT00000022258.1	mtnr1al
ENSGACT00000022280.1	slc36a1
ENSGACT00000022283.1	slc36a1
ENSGACT00000022289.1	slc36a1
ENSGACT00000022290.1	sparc
ENSGACT00000022296.1	g3bp1
ENSGACT00000022299.1	g3bp1
ENSGACT00000022301.1	glra1
ENSGACT00000022304.1	slc25a48
ENSGACT00000022332.1	nfkb1
ENSGACT00000022343.1	DGKQ
ENSGACT00000022352.1	mgat4b
ENSGACT00000022353.1	mgat4b
ENSGACT00000022356.2	canx
ENSGACT00000022362.1	maml1
ENSGACT00000022363.1	ltc4s
ENSGACT00000022381.1	rom1b
ENSGACT00000022386.1	ccdc88b
ENSGACT00000022392.1	macrod1
ENSGACT00000022393.1	flrt1b
ENSGACT00000022397.1	fermt3b
ENSGACT00000022399.1	fermt3b
ENSGACT00000022402.1	trpt1
ENSGACT00000022405.1	trpt1
ENSGACT00000022407.1	trpt1
ENSGACT00000022409.1	zbtb3
ENSGACT00000022411.1	zbtb3
ENSGACT00000022412.1	si:ch73-22a13.3
ENSGACT00000022439.1	zgc:153681
ENSGACT00000022450.1	si:ch73-45o6.2
ENSGACT00000022452.1	trmt112
ENSGACT00000022455.1	trmt112
ENSGACT00000022458.1	tgfb2l
ENSGACT00000022461.1	kcnk4a
ENSGACT00000022464.1	zgc:162144
ENSGACT00000022484.1	stx5a
ENSGACT00000022491.1	stx5a
ENSGACT00000022495.1	vegfbb
ENSGACT00000022497.1	dnajc4
ENSGACT00000022499.1	nudt22
ENSGACT00000022502.1	si:ch211-107m4.1
ENSGACT00000022507.1	zgc:153018
ENSGACT00000022508.1	hs6st2
ENSGACT00000022511.1	mbnl3
ENSGACT00000022517.1	rap2c
ENSGACT00000022522.1	zgc:92907
ENSGACT00000022526.1	si:zfos-80g12.1
ENSGACT00000022529.1	si:zfos-80g12.1
ENSGACT00000022532.1	foxo4
ENSGACT00000022533.1	prss23
ENSGACT00000022543.1	cfl1
ENSGACT00000022555.1	atl3
ENSGACT00000022557.1	si:ch211-145o7.3
ENSGACT00000022566.1	yif1a
ENSGACT00000022570.1	yif1a
ENSGACT00000022572.1	yif1a
ENSGACT00000022575.1	fosl1a
ENSGACT00000022578.1	ccdc85b
ENSGACT00000022586.1	fibpa
ENSGACT00000022591.1	fibpa
ENSGACT00000022593.1	efemp2a
ENSGACT00000022594.1	npas4a
ENSGACT00000022595.1	mrpl11
ENSGACT00000022618.1	slc25a43
ENSGACT00000022632.1	slc25a43
ENSGACT00000022633.1	slc25a43
ENSGACT00000022636.1	lnx2b
ENSGACT00000022644.1	chic1
ENSGACT00000022648.1	cdx4
ENSGACT00000022656.1	kdrl
ENSGACT00000022662.2	tex11
ENSGACT00000022670.1	dlg3
ENSGACT00000022673.1	dlg3
ENSGACT00000022671.2	dlg3
ENSGACT00000022677.1	gdpd2
ENSGACT00000022688.1	pdzd11
ENSGACT00000022695.1	stard14
ENSGACT00000022712.1	rab41
ENSGACT00000022715.1	rab41
ENSGACT00000022719.1	ARR3
ENSGACT00000022722.1	ARR3
ENSGACT00000022729.1	inppl1b
ENSGACT00000022732.1	P2RY4
ENSGACT00000022734.1	sox3
ENSGACT00000022742.1	atp11c
ENSGACT00000022750.1	mcf2a
ENSGACT00000022754.1	f9a
ENSGACT00000022762.1	f9a
ENSGACT00000022768.1	FGF13
ENSGACT00000022771.1	FGF13
ENSGACT00000022772.1	zic6
ENSGACT00000022777.1	zic3
ENSGACT00000022778.1	gpr101
ENSGACT00000022804.1	tm9sf5
ENSGACT00000022806.1	tm9sf5
ENSGACT00000022823.1	rbmx
ENSGACT00000022827.1	arhgef6
ENSGACT00000022829.1	cd40lg
ENSGACT00000022834.1	si:dkeyp-11e3.1
ENSGACT00000022840.1	map7d3
ENSGACT00000022860.1	fhl1a
ENSGACT00000022862.1	fhl1a
ENSGACT00000022865.1	fhl1a
ENSGACT00000022868.1	fhl1a
ENSGACT00000022872.1	slc9a6a
ENSGACT00000022887.1	taf7
ENSGACT00000022890.1	taf7
ENSGACT00000022895.1	aipl2
ENSGACT00000022902.1	drp2
ENSGACT00000022907.1	cenpi
ENSGACT00000022909.1	tmem35
ENSGACT00000022912.1	arl13a
ENSGACT00000022916.1	xkrx
ENSGACT00000022917.1	xkrx
ENSGACT00000022919.1	nox1
ENSGACT00000022925.1	cstf2
ENSGACT00000022929.1	cstf2
ENSGACT00000022933.1	mid1ip1l
ENSGACT00000022952.1	tspan7
ENSGACT00000022955.1	srpx2
ENSGACT00000022957.1	srpx2
ENSGACT00000022963.1	sytl4
ENSGACT00000022965.1	trmt12
ENSGACT00000022970.1	zdhhc9
ENSGACT00000022973.1	zdhhc9
ENSGACT00000022979.1	sash3
ENSGACT00000022981.1	sash3
ENSGACT00000022987.1	xpnpep2
ENSGACT00000022995.1	ocrl
ENSGACT00000022997.1	ocrl
ENSGACT00000023003.1	si:ch73-335m24.2
ENSGACT00000023006.1	si:ch73-335m24.2
ENSGACT00000023028.1	clic2
ENSGACT00000023033.1	clic2
ENSGACT00000023040.1	clic2
ENSGACT00000023046.1	clic2
ENSGACT00000023047.1	c1galt1c1
ENSGACT00000023052.1	cul4b
ENSGACT00000023056.1	lamp2
ENSGACT00000023065.1	atp1b4
ENSGACT00000023070.1	tmem255a
ENSGACT00000023071.1	zbtb33
ENSGACT00000023075.1	nkap
ENSGACT00000023077.1	ndufa1
ENSGACT00000023082.1	upf3b
ENSGACT00000023085.1	upf3b
ENSGACT00000023087.1	rpl39
ENSGACT00000029587.1	RF00265
ENSGACT00000023104.1	sept6
ENSGACT00000023106.1	sept6
ENSGACT00000023109.1	sept6
ENSGACT00000023113.1	nkrf
ENSGACT00000023115.1	ube2a
ENSGACT00000023118.1	elf1
ENSGACT00000023119.1	tnmd
ENSGACT00000023121.1	pcdh19
ENSGACT00000023123.1	pcdh19
ENSGACT00000023133.1	glra4a
ENSGACT00000023138.1	gla
ENSGACT00000023139.1	rpl36a
ENSGACT00000023142.1	btk
ENSGACT00000023143.1	timm8a
ENSGACT00000023147.1	zgc:101583
ENSGACT00000023152.1	mars2
ENSGACT00000023167.1	si:ch211-221f10.2
ENSGACT00000023172.1	enox2
ENSGACT00000023174.1	enox2
ENSGACT00000023185.1	SLC4A11
ENSGACT00000023188.1	SLC4A11
ENSGACT00000029463.1	RF00001
ENSGACT00000023191.1	gfra4b
ENSGACT00000023196.1	smyd5
ENSGACT00000023198.1	sfxn5b
ENSGACT00000023202.1	RAB11FIP5
ENSGACT00000023204.2	BEND4
ENSGACT00000023229.1	atp8a1
ENSGACT00000023230.1	atp8a1
ENSGACT00000023233.1	si:dkey-109l4.6
ENSGACT00000028071.1	MIR103A2
ENSGACT00000023236.1	slc30a9
ENSGACT00000023245.1	gsr
ENSGACT00000023248.1	gsr
ENSGACT00000023259.1	HS3ST1
ENSGACT00000023268.1	SCYL1
ENSGACT00000023278.1	ints5
ENSGACT00000023280.1	ints5
ENSGACT00000023291.1	ganab
ENSGACT00000023298.1	si:ch211-114c17.1
ENSGACT00000023305.1	ubxn1
ENSGACT00000023307.1	ubxn1
ENSGACT00000023319.1	ehd1a
ENSGACT00000023320.1	ehd1a
ENSGACT00000023324.1	ehd1a
ENSGACT00000023327.1	map1lc3cl
ENSGACT00000023331.1	ttc9c
ENSGACT00000023336.1	ttc9c
ENSGACT00000023349.1	dpf2l
ENSGACT00000023358.1	zdhhc24
ENSGACT00000023384.1	pola2
ENSGACT00000023387.1	si:ch1073-303k11.2
ENSGACT00000023388.1	si:ch1073-303k11.2
ENSGACT00000023391.1	SLC16A2
ENSGACT00000023399.1	f8
ENSGACT00000023404.1	zgc:152774
ENSGACT00000023405.1	zgc:152774
ENSGACT00000023412.1	pmt
ENSGACT00000023413.1	pmt
ENSGACT00000023414.1	pmt
ENSGACT00000023417.1	pmt
ENSGACT00000023420.1	mid2
ENSGACT00000023423.1	si:ch211-220e11.3
ENSGACT00000023428.1	pcdh11
ENSGACT00000023431.1	klhl4
ENSGACT00000023445.1	eef1g
ENSGACT00000023456.1	polr2gl
ENSGACT00000023458.1	si:ch211-175m2.5
ENSGACT00000023464.1	chrnb3b
ENSGACT00000023467.1	chrna6 (1 of many)
ENSGACT00000023483.1	ankrd13d
ENSGACT00000023486.1	kdm2ab
ENSGACT00000023498.1	stx3a
ENSGACT00000023499.1	stx3a
ENSGACT00000023502.1	stx3a
ENSGACT00000023510.1	ran
ENSGACT00000023515.1	ran
ENSGACT00000023521.1	NDUFS8
ENSGACT00000023525.1	NDUFS8
ENSGACT00000023530.1	TBC1D10C
ENSGACT00000023540.1	rad9a
ENSGACT00000023544.1	rad9a
ENSGACT00000023546.1	rad9a
ENSGACT00000023561.1	p2rx3a
ENSGACT00000023565.1	p2rx3a
ENSGACT00000023573.1	ssrp1a
ENSGACT00000023577.2	ssrp1a
ENSGACT00000023587.1	slc43a1a
ENSGACT00000023592.1	med19a
ENSGACT00000023594.1	si:dkey-6i22.5
ENSGACT00000023596.1	si:dkey-6i22.5
ENSGACT00000023601.1	tmx2a
ENSGACT00000023604.1	tmx2a
ENSGACT00000023606.1	tmx2a
ENSGACT00000023608.1	zdhhc5b
ENSGACT00000023612.1	clp1
ENSGACT00000023613.1	rtn4rl2b
ENSGACT00000023626.1	CTNND1
ENSGACT00000023628.1	CTNND1
ENSGACT00000023639.1	crybb1l1
ENSGACT00000023644.1	crybb1l1
ENSGACT00000023648.1	crybb1l1
ENSGACT00000023651.1	cabp2b
ENSGACT00000023656.1	mif
ENSGACT00000023661.1	PPP2R2C (1 of many)
ENSGACT00000023664.1	wfs1b
ENSGACT00000023665.1	jakmip1
ENSGACT00000023668.1	jakmip1
ENSGACT00000023676.1	hrh2a
ENSGACT00000023683.1	DOCK2
ENSGACT00000023687.1	trpc7b
ENSGACT00000023693.1	DIAPH1
ENSGACT00000023711.1	pcdh2ac
ENSGACT00000023717.1	si:ch73-233f7.1
ENSGACT00000029694.1	RF00006
ENSGACT00000029620.1	RF00006
ENSGACT00000029594.1	RF00006
ENSGACT00000023719.1	fgf18a
ENSGACT00000023722.1	fgf18a
ENSGACT00000023723.1	fgf18a
ENSGACT00000023726.1	fbxw11a
ENSGACT00000023727.1	fbxw11a
ENSGACT00000023731.1	etf1a
ENSGACT00000023733.1	etf1a
ENSGACT00000023736.1	etf1a
ENSGACT00000023741.1	spock1
ENSGACT00000023742.1	bicc2
ENSGACT00000023749.1	CHRNA9 (1 of many)
ENSGACT00000023751.1	CHRNA9 (1 of many)
ENSGACT00000023759.1	ube2ka
ENSGACT00000023763.1	klb
ENSGACT00000023764.1	tlr1
ENSGACT00000023766.1	tlr1
ENSGACT00000023769.1	ints10
ENSGACT00000023774.1	grhpra
ENSGACT00000023777.1	si:ch211-203d1.3
ENSGACT00000023781.1	mrpl18
ENSGACT00000023787.1	tcirg1b
ENSGACT00000023791.1	tcirg1b
ENSGACT00000023795.1	prpf19
ENSGACT00000023799.1	si:dkey-74k8.3
ENSGACT00000023800.2	rnf20
ENSGACT00000023808.1	aldob
ENSGACT00000023814.1	tmco6
ENSGACT00000023823.1	arsia
ENSGACT00000023825.1	arsia
ENSGACT00000023830.1	cdx1a
ENSGACT00000023835.1	pdgfrb
ENSGACT00000023841.1	csf1ra
ENSGACT00000023845.1	hmgxb3
ENSGACT00000023846.1	hmgxb3
ENSGACT00000023848.1	SLC35A4
ENSGACT00000023851.1	cd74a
ENSGACT00000023857.1	cd74a
ENSGACT00000023862.1	ndst1a
ENSGACT00000023865.1	rbm22
ENSGACT00000023866.1	myoz3a
ENSGACT00000023874.1	arl3l2
ENSGACT00000023875.1	rgs14a
ENSGACT00000023878.1	slc34a1a
ENSGACT00000023879.1	adra2da
ENSGACT00000023889.1	cnot6b
ENSGACT00000023921.1	gfpt2
ENSGACT00000023925.1	mapk9
ENSGACT00000023927.1	mapk9
ENSGACT00000023928.1	mapk9
ENSGACT00000023935.1	RASGEF1C
ENSGACT00000023936.1	RASGEF1C
ENSGACT00000023941.1	tmem126a
ENSGACT00000023952.1	clk4a
ENSGACT00000023957.1	si:dkeyp-44a8.4
ENSGACT00000023973.1	rack1
ENSGACT00000023978.1	rack1
ENSGACT00000023979.1	nme5
ENSGACT00000023982.1	hnrnpaba
ENSGACT00000023984.1	hnrnpaba
ENSGACT00000023989.1	phykpl
ENSGACT00000023991.1	phykpl
ENSGACT00000023992.1	phykpl
ENSGACT00000024001.1	ctbp1
ENSGACT00000024003.1	spon2a
ENSGACT00000024005.1	kdm3b
ENSGACT00000024008.1	reep2
ENSGACT00000024010.1	reep2
ENSGACT00000024011.2	egr1
ENSGACT00000024013.1	adra1bb
ENSGACT00000024015.1	FABP6 (1 of many)
ENSGACT00000024017.1	ccnjl
ENSGACT00000024018.1	c1qtnf2
ENSGACT00000024020.1	slu7
ENSGACT00000024024.1	si:ch1073-44g3.1
ENSGACT00000024027.1	atp5po
ENSGACT00000024028.1	atp5po
ENSGACT00000024029.1	atp5po
ENSGACT00000024037.1	ppp2ca
ENSGACT00000024041.1	ppp2ca
ENSGACT00000024044.1	sfxn1
ENSGACT00000024047.1	atp7a
ENSGACT00000024050.1	fbxl3l
ENSGACT00000024053.1	gabrb2
ENSGACT00000024054.1	gabrb2
ENSGACT00000024057.1	gabra6a
ENSGACT00000024060.1	nudcd2
ENSGACT00000024067.1	ccng1
ENSGACT00000024075.1	sept8b
ENSGACT00000024076.1	sept8b
ENSGACT00000024077.1	sept8b
ENSGACT00000024078.1	sept8b
ENSGACT00000024079.1	sept8b
ENSGACT00000024080.1	gdf9
ENSGACT00000024081.1	gdf9
ENSGACT00000024082.1	uqcrq
ENSGACT00000024102.1	hspa4b
ENSGACT00000024107.1	gnpda1
ENSGACT00000024108.1	gnpda1
ENSGACT00000024110.1	gnpda1
ENSGACT00000024116.1	gnpda1
ENSGACT00000024118.1	fgf1a
ENSGACT00000024121.1	nr3c1
ENSGACT00000024123.1	kctd16a
ENSGACT00000024131.1	kif3a
ENSGACT00000024134.3	atrx
ENSGACT00000024137.1	fgf16
ENSGACT00000024141.1	zdhhc15b
ENSGACT00000024146.1	zdhhc15b
ENSGACT00000024148.1	uprt
ENSGACT00000024160.1	abcb7
ENSGACT00000024162.1	abcb7
ENSGACT00000024163.1	nexmifb
ENSGACT00000024165.1	rlim
ENSGACT00000024166.1	irg1l (1 of many)
ENSGACT00000024170.1	si:ch211-153b23.5 (1 of many)
ENSGACT00000024171.1	irg1l (1 of many)
ENSGACT00000024174.1	si:ch211-153b23.4
ENSGACT00000024176.1	si:ch211-153b23.5 (1 of many)
ENSGACT00000024179.2	frmpd3
ENSGACT00000024184.1	prps1a
ENSGACT00000024185.1	prps1a
ENSGACT00000024187.1	prps1a
ENSGACT00000024188.1	zgc:66447
ENSGACT00000024193.1	znf711
ENSGACT00000024196.1	znf711
ENSGACT00000024199.1	kctd12b
ENSGACT00000024202.1	rhogc
ENSGACT00000024209.1	ogt.1
ENSGACT00000024211.1	gcna
ENSGACT00000024215.1	cetn2
ENSGACT00000024216.1	nsdhl
ENSGACT00000024221.1	fut11
ENSGACT00000024222.1	rab9b
ENSGACT00000024225.1	plp1a
ENSGACT00000024227.1	plp1a
ENSGACT00000024229.1	nlgn3a
ENSGACT00000024230.1	nlgn3a
ENSGACT00000024231.1	nlgn3a
ENSGACT00000024233.1	vma21
ENSGACT00000024248.1	GRIA3 (1 of many)
ENSGACT00000024249.1	GRIA3 (1 of many)
ENSGACT00000024250.1	eda
ENSGACT00000024251.1	eda
ENSGACT00000024257.1	GJB1
ENSGACT00000024258.1	GJB1
ENSGACT00000024259.1	mtnr1c
ENSGACT00000024260.1	mtnr1c
ENSGACT00000024262.1	neurl1b
ENSGACT00000024264.1	dusp1
ENSGACT00000024265.1	ergic1
ENSGACT00000024267.1	ergic1
ENSGACT00000024270.1	flt4
ENSGACT00000024273.1	npy7r
ENSGACT00000024276.1	prelid1a
ENSGACT00000024279.1	prelid1a
ENSGACT00000024281.1	prelid1a
ENSGACT00000024282.1	prelid1a
ENSGACT00000024283.1	mxd3
ENSGACT00000024286.1	fam193b
ENSGACT00000024288.1	DDX41
ENSGACT00000024294.1	unc5a
ENSGACT00000024297.1	unc5a
ENSGACT00000024300.1	pdlim7
ENSGACT00000024301.1	pdlim7
ENSGACT00000024303.1	pdlim7
ENSGACT00000024306.1	cltb
ENSGACT00000024307.1	cltb
ENSGACT00000024308.1	higd2a
ENSGACT00000024309.2	ankhd1
ENSGACT00000024310.1	hnrnph1
ENSGACT00000024313.1	hnrnph1
ENSGACT00000024314.1	hnrnph1
ENSGACT00000024316.1	rufy1
ENSGACT00000024318.1	hbegfa
ENSGACT00000024320.1	rmnd5b
ENSGACT00000024321.1	rmnd5b
ENSGACT00000024322.1	rmnd5b
ENSGACT00000024324.2	n4bp3
ENSGACT00000024339.1	anxa6
ENSGACT00000024343.1	tnip1
ENSGACT00000024346.1	gpx3
ENSGACT00000024349.1	gpx3
ENSGACT00000024350.1	dctn4
ENSGACT00000024356.1	tspan17
ENSGACT00000024359.1	mchr2
ENSGACT00000024377.1	ctnna1
ENSGACT00000024378.1	lrrtm2
ENSGACT00000024380.1	sncb
ENSGACT00000024388.1	rnf44
ENSGACT00000024391.2	faf2
ENSGACT00000024396.1	pin4
ENSGACT00000024397.1	nek12
ENSGACT00000024398.1	DRD1 (1 of many)
ENSGACT00000024400.1	msx2a
ENSGACT00000024408.1	cpeb4a
ENSGACT00000024411.1	cpeb4a
ENSGACT00000024412.1	cpeb4a
ENSGACT00000024414.1	cpeb4a
ENSGACT00000024416.1	stc2a
ENSGACT00000024418.1	nkx2.5
ENSGACT00000024422.1	bnip1a
ENSGACT00000024423.1	rpl26
ENSGACT00000024425.1	rpl26
ENSGACT00000024429.1	ppp2r2ca
ENSGACT00000024430.1	GPR151
ENSGACT00000024433.1	adam19b
ENSGACT00000024436.1	thg1l
ENSGACT00000024438.2	lsm11
ENSGACT00000024439.1	clint1a
ENSGACT00000024443.1	EBF1 (1 of many)
ENSGACT00000024445.1	il12ba
ENSGACT00000024447.1	adrb2a
ENSGACT00000024453.1	sh3tc2
ENSGACT00000024455.1	ablim3
ENSGACT00000024458.1	ablim3
ENSGACT00000024466.1	afap1l1a
ENSGACT00000024468.1	afap1l1a
ENSGACT00000024472.1	gabrp
ENSGACT00000024473.1	foxi3b
ENSGACT00000024475.1	wnt8a
ENSGACT00000024478.1	wnt8a
ENSGACT00000024481.1	wnt8a
ENSGACT00000024484.1	gria1a
ENSGACT00000024485.1	gria1a
ENSGACT00000024487.1	lonrf1
ENSGACT00000024491.1	itk
ENSGACT00000024493.1	cyfip2
ENSGACT00000024498.1	hmmr
ENSGACT00000024502.1	si:dkey-34l15.2
ENSGACT00000024504.1	si:ch211-160j14.2
ENSGACT00000024509.1	eif4ebp3l
ENSGACT00000024514.1	acsl4a
ENSGACT00000024515.1	acsl4a
ENSGACT00000024516.1	nxt2
ENSGACT00000024519.1	psmd10
ENSGACT00000024523.1	xiap
ENSGACT00000024533.1	stag2b
ENSGACT00000024534.1	stag2b
ENSGACT00000024536.2	efnb1
ENSGACT00000024540.1	msnb
ENSGACT00000024543.1	zc4h2
ENSGACT00000024545.1	zc4h2
ENSGACT00000024546.1	asb12b
ENSGACT00000024548.1	arhgef9a
ENSGACT00000024554.1	tenm1
ENSGACT00000024555.1	sh2d1ab
ENSGACT00000024556.1	agtr2
ENSGACT00000024558.1	si:ch211-26b3.4
ENSGACT00000024559.1	hdx
ENSGACT00000024562.1	rps6kal
ENSGACT00000024563.1	POU3F4
ENSGACT00000024572.1	sh3bgrl
ENSGACT00000024575.1	TENT5D
ENSGACT00000024577.1	TENT5D
ENSGACT00000024584.1	ITM2A
ENSGACT00000024590.1	ITM2A
ENSGACT00000024597.1	ITM2A
ENSGACT00000024598.1	gpr174
ENSGACT00000024600.1	p2ry10
ENSGACT00000024603.1	lpar4
ENSGACT00000024605.1	lpar4
ENSGACT00000024608.1	cysltr1
ENSGACT00000024618.1	polr1d
ENSGACT00000024622.1	sybl1
ENSGACT00000024625.1	sybl1
ENSGACT00000024628.1	sybl1
ENSGACT00000024632.1	mtus1a
ENSGACT00000024635.1	pdgfrl
ENSGACT00000024637.1	slc7a2
ENSGACT00000024640.1	mtmr7a
ENSGACT00000024643.1	cnot7
ENSGACT00000024644.1	cnot7
ENSGACT00000024647.1	zdhhc2
ENSGACT00000024650.1	micu3b
ENSGACT00000024651.1	micu3b
ENSGACT00000024653.1	fgf20b
ENSGACT00000024657.1	her5
ENSGACT00000024662.1	pfdn6
ENSGACT00000024665.1	mmgt1
ENSGACT00000024669.1	ints6l
ENSGACT00000024675.1	mospd1
ENSGACT00000024677.1	fam122b
ENSGACT00000029690.1	RF01233
ENSGACT00000024687.1	hprt1
ENSGACT00000024694.1	phf6
ENSGACT00000024704.1	cab39l1
ENSGACT00000029023.1	MIR20B (1 of many)
ENSGACT00000024707.1	gpc3
ENSGACT00000024710.1	gpc4
ENSGACT00000024712.1	gpc4
ENSGACT00000024715.1	brd8
ENSGACT00000024717.1	tmem173
ENSGACT00000024718.1	ppp3cb
ENSGACT00000024719.1	ppp3cb
ENSGACT00000024735.1	ube2d2
ENSGACT00000024738.1	psd2
ENSGACT00000024740.1	purab
ENSGACT00000024741.1	nrg2b
ENSGACT00000024742.1	si:dkey-160o24.3
ENSGACT00000024745.1	eif1ad
ENSGACT00000024749.1	ctsf
ENSGACT00000024752.1	ctsf
ENSGACT00000024754.1	ctsf
ENSGACT00000024757.1	aup1
ENSGACT00000024759.1	fnta
ENSGACT00000024760.1	fnta
ENSGACT00000024764.1	si:ch73-49o8.1
ENSGACT00000024765.1	si:ch73-49o8.1
ENSGACT00000024773.1	guf1
ENSGACT00000024776.1	guf1
ENSGACT00000024781.1	gabra4
ENSGACT00000024783.1	cfap100
ENSGACT00000024789.1	ap1ar
ENSGACT00000024792.1	ap1ar
ENSGACT00000024798.1	smad5
ENSGACT00000024800.1	smad5
ENSGACT00000024802.1	syvn1
ENSGACT00000024804.1	gpr137
ENSGACT00000024805.1	gpr137
ENSGACT00000024806.1	gpr137
ENSGACT00000024808.1	si:dkeyp-110e4.6
ENSGACT00000024809.1	smim19
ENSGACT00000024811.1	fam199x
ENSGACT00000024810.2	fam199x
ENSGACT00000024813.1	commd5
ENSGACT00000024817.1	LONRF3
ENSGACT00000024820.1	dcps
