chr,start,end,score,CL12w16-3_atac_LITC,CL12w16-3_atac.MATA,CL12_wgs.LITC,CL12_wgs.MATA
chrI,913791,915020,1000,0,52,3,10
chrI,918719,918903,1000,75,216,15,19
chrI,926884,927744,1000,46,50,18,25
chrI,928841,929252,1000,0,0,0,0
chrI,944754,945460,1000,198,183,18,11
chrI,962548,963291,1000,0,0,0,0
chrI,973570,974688,1000,82,155,26,40
chrI,1029076,1029872,1000,384,406,26,25
chrI,1034857,1035254,1000,179,156,16,46
chrI,1044526,1044999,1000,0,0,1,0
chrI,1047848,1048088,1000,0,0,0,0
chrI,1069723,1069951,1000,0,0,0,0
chrI,1070141,1070666,1000,1125,1227,50,53
chrI,1071452,1072200,1000,130,144,13,21
chrI,1081194,1081789,480,0,0,0,0
chrI,1085246,1085459,1000,1,63,15,16
chrI,1088812,1088974,1000,0,0,0,0
chrI,1089527,1089874,1000,0,0,0,0
chrI,1095890,1096383,844,79,106,16,30
chrI,1096507,1096641,1000,99,113,5,13
chrI,1105467,1106558,1000,505,590,55,61
chrI,1145357,1145832,707,42,46,13,12
chrI,1146115,1146419,1000,64,323,47,63
chrI,1191879,1192972,1000,410,351,50,49
chrI,1195548,1196125,1000,410,328,51,36
chrI,1242725,1243475,543,46,57,26,18
chrI,1244342,1244807,945,0,46,14,14
chrI,1248365,1248646,1000,34,726,32,65
chrI,1248756,1249329,554,54,40,11,19
chrI,1249483,1251564,1000,119,382,36,49
chrI,1251701,1253474,1000,233,100,29,12
chrI,1254605,1255126,1000,75,103,27,31
chrI,1257071,1257384,1000,4,27,6,30
chrI,1258155,1258544,752,7,9,4,13
chrI,1268497,1269571,758,0,0,0,0
chrI,1276375,1276815,1000,16,16,20,8
chrI,1279212,1280266,1000,325,245,35,23
chrI,1282023,1283007,1000,210,173,16,30
chrI,1283752,1284008,1000,14,33,26,37
chrI,1315906,1316300,1000,0,188,17,7
chrI,1319729,1319930,1000,63,50,12,19
chrI,1325392,1326676,1000,213,257,32,36
chrI,1346168,1346621,952,0,0,0,0
chrI,1347922,1348225,1000,81,120,25,25
chrI,1361195,1361415,1000,0,0,0,0
chrI,1365051,1365833,1000,180,142,60,39
chrI,1373442,1373606,1000,0,13,4,9
chrI,1413410,1414105,1000,151,496,19,50
chrI,1420442,1421245,1000,145,167,35,19
chrI,1421690,1421903,1000,0,0,0,0
chrI,1444957,1445616,1000,324,314,51,36
chrI,1452251,1453630,1000,13,14,18,7
chrI,1461578,1461748,1000,0,0,1,0
chrI,1467060,1467438,1000,314,162,28,43
chrI,1494019,1494662,1000,9,74,9,34
chrI,1497125,1497761,1000,14,0,16,0
chrI,1497895,1498671,1000,109,88,43,15
chrI,1498865,1499104,1000,167,155,16,14
chrI,1499288,1499637,1000,152,168,22,21
chrI,1512582,1512825,1000,0,0,0,0
chrI,1525250,1525404,1000,0,0,0,0
chrI,1645971,1646904,1000,0,0,0,0
chrI,1664086,1664723,1000,196,210,26,33
chrI,1675423,1675689,1000,492,96,35,27
chrI,1687060,1687399,1000,0,0,0,0
chrI,1719659,1721080,976,118,164,37,34
chrI,1721246,1721948,1000,137,243,20,38
chrI,1722755,1722976,1000,38,13,21,11
chrI,1748764,1749621,883,0,0,0,0
chrI,1758445,1760122,1000,201,242,49,66
chrI,1768349,1769592,1000,319,889,56,42
chrI,1778245,1778441,1000,97,114,39,22
chrI,1784304,1784949,1000,0,0,0,0
chrI,1785183,1785338,1000,78,46,15,20
chrI,1790745,1791338,1000,103,71,45,14
chrI,1806646,1806861,1000,0,23,0,6
chrI,1806964,1807361,1000,32,311,25,50
chrI,1811179,1811505,1000,0,0,0,0
chrI,1816260,1816504,962,0,0,0,0
chrI,1819918,1821167,1000,18,13,14,7
chrI,1835159,1835699,906,59,232,42,47
chrI,1837046,1837426,763,0,0,0,0
chrI,1838876,1839083,1000,222,199,21,25
chrI,1839266,1839601,1000,0,0,0,0
chrI,1840757,1840900,1000,22,26,35,8
chrI,1864712,1864896,1000,24,14,20,11
chrI,1865136,1865612,1000,0,0,0,0
chrI,1895936,1897414,1000,93,238,29,59
chrI,1906374,1907173,950,172,169,56,51
chrI,1920403,1920821,1000,0,0,0,0
chrI,1971839,1972976,1000,366,471,57,65
chrI,1978063,1978489,1000,276,379,50,36
chrI,2005578,2006101,720,107,51,24,19
chrI,2018052,2018482,1000,377,282,26,45
chrI,2018604,2018885,1000,0,0,0,0
chrI,2024740,2025012,1000,39,202,19,45
chrI,2026010,2026224,1000,14,117,3,12
chrI,2026741,2027047,1000,187,439,44,35
chrI,2030869,2032273,1000,460,568,18,19
chrI,2045255,2045397,1000,82,87,10,6
chrI,2045506,2045801,1000,148,167,31,35
chrI,2059437,2060627,1000,209,350,42,52
chrI,2062152,2062953,1000,306,471,62,61
chrI,2111769,2112184,721,52,0,11,0
chrI,2133774,2134287,1000,42,42,22,12
chrI,2157000,2157583,1000,43,41,18,16
chrI,2169529,2170088,762,0,0,0,0
chrI,2186051,2186555,1000,12,0,4,4
chrI,2191884,2192670,1000,1,1,0,2
chrI,2223813,2224008,1000,77,93,7,12
chrI,2224142,2224321,1000,72,61,10,12
chrI,2233831,2234275,1000,162,146,37,31
chrI,2288562,2289098,1000,0,0,0,0
chrI,2289291,2289509,1000,0,0,0,0
chrI,2317380,2317604,1000,246,200,25,25
chrI,2321273,2322017,1000,1310,1073,62,54
chrI,2326601,2326977,847,69,97,26,19
chrI,2336572,2337453,1000,189,243,51,28
chrI,2337706,2338122,1000,0,0,0,0
chrI,2343218,2345269,1000,0,0,0,0
chrI,2353221,2353811,720,128,130,38,44
chrI,2371693,2371930,1000,17,52,23,22
chrI,2394454,2394694,948,44,64,15,21
chrI,2394845,2395096,1000,56,104,15,9
chrI,2401505,2401679,1000,0,0,0,0
chrI,2408106,2408708,1000,309,298,46,47
chrI,2419021,2419322,1000,0,0,0,0
chrI,2422548,2423636,1000,27,13,7,13
chrI,2424181,2424690,1000,184,127,27,9
chrI,2429925,2430744,1000,0,0,0,0
chrI,2433012,2433270,1000,27,20,13,11
chrI,2438146,2438722,1000,0,0,0,0
chrI,2439092,2440410,1000,0,0,0,0
chrI,2442452,2442637,1000,0,0,0,0
chrI,2442752,2443305,1000,83,93,14,17
chrI,2482530,2483144,968,102,92,22,31
chrI,2488164,2488659,828,65,67,21,21
chrI,2488807,2488966,1000,0,0,0,0
chrI,2504314,2504645,1000,48,29,18,13
chrI,2505407,2505784,577,39,32,13,24
chrI,2508335,2509085,1000,0,0,0,0
chrI,2510117,2510814,1000,543,670,13,11
chrI,2519095,2519588,1000,0,0,0,0
chrI,2523256,2523710,1000,218,1,39,7
chrI,2532434,2532670,1000,45,36,13,12
chrI,2533095,2533329,910,10,8,9,5
chrI,2536269,2537054,1000,27,22,4,13
chrI,2541066,2541548,1000,0,0,0,0
chrI,2543108,2543684,1000,0,0,0,0
chrI,2559064,2559270,1000,0,0,0,0
chrI,2567525,2568027,1000,0,0,0,0
chrI,2568929,2570009,1000,3,0,4,2
chrI,2574677,2575474,1000,0,0,0,0
chrI,2585110,2585912,1000,0,0,0,0
chrI,2587623,2587870,1000,0,0,0,0
chrI,2588806,2589375,481,34,34,16,19
chrI,2592954,2593460,560,112,1,16,5
chrI,2602490,2603544,1000,0,0,0,0
chrI,2625270,2625708,1000,168,225,31,26
chrI,2644370,2644615,1000,5,2,2,1
chrI,2682191,2683478,1000,324,461,44,23
chrI,2692834,2693222,1000,61,379,53,41
chrI,2693553,2694165,1000,176,153,30,13
chrI,2713861,2715219,1000,0,0,0,0
chrI,2715763,2716013,1000,0,0,0,0
chrI,2716287,2717369,1000,0,0,0,0
chrI,2720297,2720712,486,76,50,13,9
chrI,2739390,2740744,1000,269,620,72,81
chrI,2762239,2762858,1000,19,23,13,7
chrI,2780021,2781939,1000,389,463,17,13
chrI,2782056,2783186,1000,242,82,38,21
chrI,2783475,2783956,1000,0,48,7,21
chrI,2784226,2784603,754,0,0,0,0
chrI,2786225,2786494,1000,165,120,42,21
chrI,2788811,2789138,1000,0,0,0,0
chrI,2806666,2807194,1000,0,0,0,0
chrI,2881027,2881887,1000,54,87,16,20
chrI,2907403,2907657,1000,0,150,7,15
chrI,2933838,2934031,1000,0,1,1,0
chrI,2948670,2948875,1000,4,0,6,4
chrI,2949661,2949967,1000,100,170,31,26
chrI,2954020,2954442,1000,0,0,0,0
chrI,2955940,2956208,1000,0,0,0,0
chrI,2969132,2969598,633,0,0,0,0
chrI,2986369,2986682,1000,30,48,28,27
chrI,3020199,3020615,1000,108,95,30,14
chrI,3090042,3090921,1000,48,55,35,8
chrI,3108055,3108594,1000,34,32,20,12
chrI,3150083,3150670,409,9,18,14,7
chrI,3161974,3162404,804,72,106,33,11
chrI,3162637,3162893,1000,253,322,51,15
chrI,3181222,3181393,1000,0,116,1,10
chrI,3181512,3182334,1000,173,320,18,21
chrI,3192121,3192964,1000,516,427,92,47
chrI,3200857,3201210,984,0,0,0,0
chrI,3201348,3202152,1000,148,105,18,7
chrI,3202634,3203205,1000,72,85,32,13
chrI,3207671,3208047,825,0,0,0,0
chrI,3212628,3212905,1000,0,0,0,0
chrI,3241702,3241897,1000,85,63,24,14
chrI,3242894,3243473,1000,0,0,0,0
chrI,3243583,3243772,1000,0,0,0,0
chrI,3266263,3266707,1000,0,0,0,0
chrI,3275620,3275857,1000,0,0,0,0
chrI,3279262,3279854,1000,0,0,0,0
chrI,3305698,3306031,1000,200,124,37,51
chrI,3317857,3318297,1000,66,83,18,25
chrI,3324053,3324693,1000,837,804,31,30
chrI,3328091,3328441,842,0,0,0,0
chrI,3330478,3330812,690,0,0,0,0
chrI,3331848,3332228,1000,230,204,10,16
chrI,3342752,3343611,1000,61,54,17,28
chrI,3344069,3344475,753,78,104,13,19
chrI,3346364,3347332,1000,0,0,0,0
chrI,3350160,3350345,1000,0,0,0,0
chrI,3436942,3437163,1000,0,14,0,7
chrI,3500104,3500321,1000,0,0,0,0
chrI,3500451,3500783,1000,177,252,26,12
chrI,3500904,3501296,1000,90,174,10,18
chrI,3517044,3518079,1000,359,403,43,43
chrI,3557003,3557732,1000,0,0,0,0
chrI,3561326,3561868,863,85,61,27,20
chrI,3563563,3563968,1000,6,5,2,4
chrI,3575320,3575745,1000,120,183,11,19
chrI,3589230,3589528,691,62,53,11,10
chrI,3589939,3590479,1000,0,0,0,0
chrI,3591723,3592059,1000,127,108,43,39
chrI,3592210,3592371,1000,56,66,10,10
chrI,3610786,3610967,1000,0,0,0,0
chrI,3611097,3611425,1000,16,6,7,4
chrI,3636485,3636736,817,0,0,0,0
chrI,3638212,3638691,1000,0,0,0,0
chrI,3643207,3643915,1000,10,7,7,4
chrI,3668903,3669400,550,62,66,21,11
chrI,3715128,3715859,1000,0,0,0,0
chrI,3717313,3718529,1000,0,0,0,0
chrI,3754473,3754817,1000,0,0,0,0
chrI,3787533,3787734,1000,0,0,0,0
chrI,3795363,3796149,1000,60,68,26,22
chrI,3802254,3802413,1000,55,81,18,16
chrI,3814720,3815605,1000,66,59,12,14
chrI,3822116,3822648,1000,0,0,0,0
chrI,3838050,3838341,1000,0,0,0,0
chrI,3839339,3839535,1000,0,0,0,0
chrI,3839675,3840189,1000,0,0,0,0
chrI,3847731,3847967,965,0,0,0,0
chrI,3856225,3856572,1000,0,0,0,0
chrI,3866725,3867127,1000,0,0,0,0
chrI,3875781,3876896,1000,535,420,80,62
chrI,3943910,3944122,1000,53,57,12,14
chrI,3951918,3952351,1000,3,6,10,8
chrI,4039805,4040183,1000,118,120,14,18
chrI,4073869,4074159,1000,0,0,0,0
chrI,4082116,4082422,983,0,0,0,0
chrI,4086415,4086690,1000,0,0,0,0
chrI,4092270,4092540,872,0,0,0,0
chrI,4117538,4118804,1000,432,384,19,29
chrI,4177358,4177765,1000,0,0,0,0
chrI,4272439,4272648,1000,71,114,20,24
chrI,4319242,4319427,1000,20,19,23,3
chrI,4321124,4321340,1000,73,65,18,23
chrI,4322928,4323673,1000,6,7,5,2
chrI,4339714,4340313,1000,142,125,13,12
chrI,4352594,4352798,1000,14,3,6,8
chrI,4361851,4362590,1000,0,1,0,1
chrI,4385607,4386241,1000,81,91,15,13
chrI,4399472,4399736,1000,0,0,0,0
chrI,4407936,4408171,867,111,109,28,17
chrI,4420259,4420479,1000,36,43,5,7
chrI,4426165,4426343,1000,36,21,13,13
chrI,4430007,4431158,1000,346,353,32,52
chrI,4453700,4454053,1000,0,0,0,0
chrI,4458755,4459373,761,75,80,22,13
chrI,4463608,4464309,1000,192,222,47,32
chrI,4472727,4473037,1000,0,0,0,0
chrI,4474256,4475258,1000,110,65,30,26
chrI,4475382,4475926,629,70,106,15,21
chrI,4489334,4489530,1000,127,193,30,44
chrI,4492412,4492703,1000,34,49,13,9
chrI,4499784,4500100,1000,0,0,0,0
chrI,4504647,4505574,965,86,115,51,34
chrI,4514360,4514528,1000,0,131,5,23
chrI,4514874,4515252,1000,0,0,0,0
chrI,4523844,4524056,959,131,141,29,23
chrI,4533146,4533344,1000,0,0,0,0
chrI,4533453,4533807,1000,57,56,16,10
chrI,4541310,4541713,933,0,14,1,7
chrI,4560009,4561312,1000,423,379,45,61
chrI,4589917,4591149,1000,545,527,33,61
chrI,4594706,4595168,1000,77,107,22,13
chrI,4597032,4597340,1000,53,102,12,15
chrI,4597609,4597892,917,14,16,7,15
chrI,4626938,4627265,739,145,0,21,13
chrI,4628920,4629321,1000,0,0,0,0
chrI,4629842,4630000,1000,18,23,10,12
chrI,4679950,4681661,1000,25,36,10,14
chrI,4684630,4685595,1000,56,59,12,19
chrI,4685821,4687510,1000,487,1368,59,75
chrI,4691949,4692155,1000,0,0,0,0
chrI,4693142,4693511,1000,0,0,0,0
chrI,4700922,4701112,1000,118,91,15,28
chrI,4808555,4808963,1000,106,68,27,18
chrI,4815234,4815910,1000,5,100,1,46
chrI,4835530,4836083,1000,0,0,0,0
chrI,4845239,4845628,1000,0,0,0,0
chrI,4846703,4846997,843,44,49,18,20
chrI,4847325,4847590,821,0,0,0,0
chrI,4849076,4849577,644,0,0,0,0
chrI,4928329,4929264,1000,0,0,0,0
chrI,4952065,4952435,1000,38,43,4,12
chrI,4952616,4953297,1000,52,52,30,24
chrI,4965189,4965370,1000,0,0,0,0
chrI,4967572,4968778,1000,0,0,0,0
chrI,5054336,5055162,1000,115,138,16,26
chrI,5055319,5055537,1000,0,0,0,0
chrI,5055813,5056500,515,37,64,23,15
chrI,5064431,5064625,1000,42,63,19,12
chrI,5074363,5075367,1000,61,68,14,38
chrI,5077664,5078224,1000,0,0,0,0
chrI,5081541,5082111,356,127,101,40,38
chrI,5085967,5087284,818,153,145,55,47
chrI,5092810,5093103,784,0,0,0,0
chrI,5107079,5107356,1000,0,0,0,0
chrI,5109677,5110161,1000,0,0,0,0
chrI,5123059,5123661,993,0,158,6,34
chrI,5125579,5125837,818,0,0,0,0
chrI,5137305,5138021,1000,254,241,36,42
chrI,5153072,5153410,1000,0,0,0,0
chrI,5154223,5154616,1000,17,15,6,9
chrI,5170862,5171340,1000,0,0,0,0
chrI,5172370,5172647,1000,0,0,0,0
chrI,5172755,5172913,1000,0,0,0,0
chrI,5173328,5174202,1000,0,0,0,0
chrI,5203838,5204070,969,0,0,0,0
chrI,5221205,5221394,1000,0,0,0,0
chrI,5226369,5226850,1000,10,7,3,12
chrI,5231464,5231710,1000,6,11,7,4
chrI,5232287,5232533,1000,0,0,0,0
chrI,5232701,5233093,1000,202,165,7,9
chrI,5259233,5259472,1000,8,5,4,1
chrI,5270856,5271142,908,0,0,0,0
chrI,5272684,5272846,1000,0,0,0,0
chrI,5273028,5273531,1000,1108,0,13,15
chrI,5273771,5274445,1000,0,0,0,0
chrI,5280404,5280594,1000,0,0,0,0
chrI,5329079,5329318,1000,0,0,0,0
chrI,5340182,5340427,926,42,0,17,8
chrI,5359122,5359433,1000,0,0,0,0
chrI,5403147,5403532,1000,328,262,27,39
chrI,5421893,5422140,1000,142,131,24,30
chrI,5425810,5426048,1000,10,10,10,7
chrI,5436139,5436660,1000,86,94,19,12
chrI,5495454,5495939,1000,229,50,48,19
chrI,5541924,5542295,1000,0,0,0,0
chrI,5609165,5609332,1000,0,0,0,0
chrI,5609447,5611361,1000,122,134,14,18
chrI,5616306,5616669,1000,0,0,0,0
chrI,5701750,5701945,1000,0,0,0,0
chrI,5784833,5785025,1000,0,0,0,0
chrI,5802265,5802458,1000,71,148,15,39
chrI,5802663,5802856,1000,67,102,9,10
chrI,5804154,5804361,1000,49,65,14,12
chrI,5806267,5807070,1000,171,148,11,14
chrI,5814819,5815426,1000,48,52,25,14
chrI,5816944,5818042,1000,196,679,40,89
chrI,5885956,5886066,1000,0,0,0,0
chrI,6002019,6002266,1000,245,297,14,8
chrI,6009482,6009911,1000,35,43,22,3
chrI,6012151,6012461,1000,911,950,21,18
chrI,6012641,6014038,1000,298,293,29,43
chrI,6022286,6022472,1000,0,0,0,0
chrI,6061357,6061772,1000,71,78,36,24
chrI,6063096,6063279,1000,0,0,0,0
chrI,6064141,6064747,1000,0,0,0,0
chrI,6070646,6071014,1000,274,195,37,42
chrI,6073910,6074164,991,0,0,0,0
chrI,6075356,6075794,1000,189,168,19,36
chrI,6076402,6076718,1000,41,38,17,21
chrI,6117585,6117826,1000,38,48,11,17
chrI,6136528,6136737,1000,0,39,3,16
chrI,6155939,6156755,1000,0,0,0,0
chrI,6156972,6157135,1000,135,131,16,24
chrI,6161655,6161828,1000,35,21,8,13
chrI,6177672,6178056,553,45,27,12,17
chrI,6190506,6191001,1000,127,103,15,14
chrI,6191509,6191810,1000,112,158,23,42
chrI,6192241,6193009,1000,467,195,22,20
chrI,6214950,6215354,1000,0,0,0,0
chrI,6215488,6216308,1000,0,0,0,0
chrI,6218467,6218786,1000,426,487,25,20
chrI,6219061,6219862,1000,127,135,7,23
chrI,6220734,6220965,1000,12,8,0,1
chrI,6221301,6221793,1000,125,261,29,37
chrI,6222439,6222741,1000,0,0,0,0
chrI,6230325,6231545,1000,655,682,69,83
chrI,6244216,6244530,1000,136,211,31,52
chrI,6245107,6245289,1000,0,0,0,0
chrI,6269261,6269737,1000,0,0,0,0
chrI,6281684,6282231,1000,70,78,24,11
chrI,6290297,6290823,1000,48,53,9,7
chrI,6300243,6300492,1000,0,0,0,0
chrI,6307841,6308122,942,3,3,9,5
chrI,6316918,6317126,977,87,55,12,19
chrI,6326832,6327118,1000,185,230,18,26
chrI,6328375,6330015,1000,79,69,4,12
chrI,6331530,6332381,1000,176,222,24,19
chrI,6334924,6335108,1000,0,9,0,1
chrI,6335280,6336206,1000,1,248,4,13
chrI,6340964,6341494,768,0,0,0,0
chrI,6345311,6345691,591,0,0,0,0
chrI,6364643,6364910,1000,134,149,17,18
chrI,6369764,6370078,1000,0,0,0,0
chrI,6372156,6372812,1000,85,77,23,16
chrI,6384044,6384520,1000,0,9,0,5
chrI,6384752,6385015,1000,0,0,0,0
chrI,6385358,6385929,1000,0,0,0,0
chrI,6392466,6392707,1000,235,183,18,34
chrI,6399523,6399770,1000,0,0,0,0
chrI,6406008,6406568,1000,104,103,22,20
chrI,6409762,6411038,1000,458,889,86,87
chrI,6421532,6422301,1000,30,253,9,36
chrI,6422410,6422545,1000,0,96,7,28
chrI,6428813,6429219,926,0,0,0,0
chrI,6459428,6460299,1000,0,0,0,0
chrI,6474904,6475112,1000,18,18,13,12
chrI,6475921,6476394,1000,0,0,0,0
chrI,6506281,6506843,1000,0,0,0,0
chrI,6517660,6517928,1000,51,46,14,14
chrI,6518128,6518662,1000,11,28,15,4
chrI,6536132,6536974,1000,497,507,35,30
chrI,6619942,6620255,1000,3,4,0,1
chrI,6622011,6622261,1000,68,57,18,8
chrI,6632884,6633851,1000,348,369,64,52
chrI,6634383,6634584,1000,36,32,7,8
chrI,6635718,6635975,1000,0,0,0,0
chrI,6636085,6636901,1000,272,290,22,25
chrI,6637535,6637725,1000,143,123,15,22
chrI,6693056,6693385,1000,273,349,17,11
chrI,6699622,6699820,1000,51,60,15,18
chrI,6709038,6709681,1000,355,415,38,30
chrI,6715959,6716180,1000,21,41,7,10
chrI,6729162,6729331,1000,72,87,12,9
chrI,6729788,6729934,1000,67,60,12,6
chrI,6746311,6746721,1000,1,4,0,2
chrI,6772556,6773236,1000,0,0,0,0
chrI,6776782,6777029,1000,153,169,58,40
chrI,6790888,6791114,1000,0,0,0,0
chrI,6809920,6810499,645,34,29,12,14
chrI,6829882,6830271,848,0,5,1,3
chrI,6848361,6848606,1000,111,159,36,17
chrI,6848889,6849274,1000,191,164,45,33
chrI,6858298,6858477,1000,142,116,37,29
chrI,6868112,6868393,1000,34,26,11,10
chrI,6881059,6881298,956,11,4,3,9
chrI,6920205,6920901,1000,6,7,7,7
chrI,7009188,7009583,1000,3,3,26,21
chrI,7103212,7103429,1000,81,39,16,15
chrI,7139283,7139618,1000,0,0,0,0
chrI,7190375,7190534,1000,0,0,0,0
chrI,7190766,7191219,1000,207,173,12,8
chrI,7192493,7193554,1000,226,230,14,36
chrI,7210633,7211372,1000,201,239,29,42
chrI,7218030,7218423,1000,144,154,31,40
chrI,7229880,7230090,1000,15,20,14,12
chrI,7231366,7231667,792,0,0,0,0
chrI,7232055,7232755,818,102,82,40,33
chrI,7249945,7250355,1000,182,226,19,40
chrI,7250844,7251051,1000,18,31,6,10
chrI,7253451,7253712,1000,10,6,7,15
chrI,7258519,7258696,1000,0,0,0,0
chrI,7266861,7267430,1000,279,312,25,17
chrI,7267619,7269239,1000,943,943,71,100
chrI,7280912,7281555,518,0,0,0,0
chrI,7283477,7283845,1000,14,17,3,4
chrI,7283974,7284184,1000,199,244,17,17
chrI,7297316,7297727,1000,0,0,0,0
chrI,7297922,7298109,1000,24,20,4,16
chrI,7298504,7298694,1000,0,0,0,0
chrI,7298817,7299128,673,0,0,0,0
chrI,7304876,7305062,1000,0,0,0,0
chrI,7324310,7324765,494,57,50,19,13
chrI,7331228,7331569,1000,19,192,16,41
chrI,7353366,7354193,1000,154,124,27,55
chrI,7354307,7354522,1000,0,0,0,0
chrI,7369999,7370454,1000,0,0,0,0
chrI,7381701,7383142,931,0,0,0,0
chrI,7384945,7385369,1000,0,0,0,0
chrI,7391368,7392474,1000,355,409,33,36
chrI,7415055,7415255,1000,9,12,10,7
chrI,7457925,7458677,1000,827,995,72,67
chrI,7485325,7485835,1000,0,0,0,0
chrI,7519175,7519880,1000,206,177,15,11
chrI,7549970,7550168,1000,15,9,3,3
chrI,7673390,7674087,1000,0,153,7,27
chrI,7729599,7729890,1000,0,0,0,0
chrI,7740698,7741234,811,0,0,0,0
chrI,7746830,7747188,1000,0,0,0,0
chrI,7757509,7757733,929,0,0,0,0
chrI,7764226,7764746,1000,94,122,11,13
chrI,7863824,7864023,1000,13,8,15,13
chrI,7866815,7867009,1000,0,0,0,0
chrI,7867629,7868066,1000,0,0,0,0
chrI,7875381,7875807,1000,170,126,12,9
chrI,7888706,7888925,1000,0,0,0,0
chrI,7893210,7893396,1000,0,0,0,0
chrI,7895632,7896140,1000,171,154,24,27
chrI,7905382,7906177,1000,38,40,22,22
chrI,7917981,7918491,454,63,43,9,17
chrI,7922452,7922894,1000,25,18,14,14
chrI,7925225,7925617,699,0,0,0,0
chrI,7935797,7937148,1000,473,598,81,69
chrI,7938399,7938564,1000,66,56,19,10
chrI,7952785,7954384,1000,0,0,0,0
chrI,7964715,7965090,1000,65,89,8,11
chrI,7965214,7965823,1000,256,402,37,29
chrI,7970008,7970221,1000,0,0,0,0
chrI,7974733,7974944,998,34,0,12,0
chrI,7981772,7982703,1000,538,840,55,72
chrI,7982912,7983660,1000,219,196,8,19
chrI,7992188,7992321,1000,27,35,9,8
chrI,7992584,7993360,1000,52,68,12,6
chrI,8018524,8018787,1000,105,94,21,18
chrI,8027144,8027393,1000,125,125,28,39
chrI,8027497,8028315,1000,252,303,54,73
chrI,8035201,8036125,1000,988,782,95,111
chrI,8059142,8059422,1000,0,0,0,0
chrI,8060166,8060348,1000,38,55,21,32
chrI,8067579,8068508,1000,258,265,36,37
chrI,8076701,8077658,880,95,128,32,34
chrI,8093071,8093633,1000,181,249,22,27
chrI,8097971,8098868,874,192,80,36,27
chrI,8122350,8122608,1000,5,1,0,0
chrI,8154662,8155087,1000,0,0,0,0
chrI,8158426,8158734,1000,1,0,0,1
chrI,8166348,8166593,1000,0,0,0,0
chrI,8190121,8190438,1000,0,0,0,0
chrI,8201158,8201394,1000,0,0,0,0
